,Tair,rh
0,40.40000000000022,0.5
1,40.40000000000022,1.0
2,40.40000000000022,1.5
3,40.30000000000022,2.0
4,40.30000000000022,2.5
5,40.30000000000022,3.0
6,40.30000000000022,3.5
7,40.200000000000216,4.0
8,40.200000000000216,4.5
9,40.200000000000216,5.0
10,40.200000000000216,5.5
11,40.100000000000215,6.0
12,40.100000000000215,6.5
13,40.100000000000215,7.0
14,40.100000000000215,7.5
15,40.00000000000021,8.0
16,40.00000000000021,8.5
17,40.00000000000021,9.0
18,40.00000000000021,9.5
19,39.90000000000021,10.0
20,39.90000000000021,10.5
21,39.90000000000021,11.0
22,39.90000000000021,11.5
23,39.80000000000021,12.0
24,39.80000000000021,12.5
25,39.80000000000021,13.0
26,39.70000000000021,13.5
27,39.70000000000021,14.0
28,39.60000000000021,14.5
29,39.500000000000206,15.0
30,39.400000000000205,15.5
31,39.2000000000002,16.0
32,39.1000000000002,16.5
33,39.0000000000002,17.0
34,38.800000000000196,17.5
35,38.700000000000195,18.0
36,38.60000000000019,18.5
37,38.40000000000019,19.0
38,38.30000000000019,19.5
39,38.20000000000019,20.0
40,38.100000000000186,20.5
41,37.90000000000018,21.0
42,37.80000000000018,21.5
43,37.70000000000018,22.0
44,37.60000000000018,22.5
45,37.50000000000018,23.0
46,37.400000000000176,23.5
47,37.300000000000175,24.0
48,37.10000000000017,24.5
49,37.00000000000017,25.0
50,36.90000000000017,25.5
51,36.80000000000017,26.0
52,36.700000000000166,26.5
53,36.600000000000165,27.0
54,36.50000000000016,27.5
55,36.40000000000016,28.0
56,36.30000000000016,28.5
57,36.20000000000016,29.0
58,36.10000000000016,29.5
59,36.000000000000156,30.0
60,35.900000000000155,30.5
61,35.80000000000015,31.0
62,35.70000000000015,31.5
63,35.60000000000015,32.0
64,35.50000000000015,32.5
65,35.40000000000015,33.0
66,35.300000000000146,33.5
67,35.200000000000145,34.0
68,35.10000000000014,34.5
69,35.00000000000014,35.0
70,34.90000000000014,35.5
71,34.80000000000014,36.0
72,34.70000000000014,36.5
73,34.70000000000014,37.0
74,34.600000000000136,37.5
75,34.500000000000135,38.0
76,34.400000000000134,38.5
77,34.30000000000013,39.0
78,34.20000000000013,39.5
79,34.10000000000013,40.0
80,34.10000000000013,40.5
81,34.00000000000013,41.0
82,33.90000000000013,41.5
83,33.800000000000125,42.0
84,33.700000000000124,42.5
85,33.60000000000012,43.0
86,33.60000000000012,43.5
87,33.50000000000012,44.0
88,33.40000000000012,44.5
89,33.30000000000012,45.0
90,33.20000000000012,45.5
91,33.20000000000012,46.0
92,33.100000000000115,46.5
93,33.000000000000114,47.0
94,32.90000000000011,47.5
95,32.90000000000011,48.0
96,32.80000000000011,48.5
97,32.70000000000011,49.0
98,32.60000000000011,49.5
99,32.60000000000011,50.0
100,32.50000000000011,50.5
101,32.400000000000105,51.0
102,32.300000000000104,51.5
