Tair,rh
47.800000000000324,0.5
47.800000000000324,1.0
47.70000000000032,1.5
47.60000000000032,2.0
47.60000000000032,2.5
47.50000000000032,3.0
47.40000000000032,3.5
47.40000000000032,4.0
47.30000000000032,4.5
47.30000000000032,5.0
47.200000000000315,5.5
47.100000000000314,6.0
47.100000000000314,6.5
47.00000000000031,7.0
46.90000000000031,7.5
46.90000000000031,8.0
46.80000000000031,8.5
46.70000000000031,9.0
46.70000000000031,9.5
46.60000000000031,10.0
46.500000000000306,10.5
46.400000000000304,11.0
46.400000000000304,11.5
46.3000000000003,12.0
46.2000000000003,12.5
46.2000000000003,13.0
46.1000000000003,13.5
46.0000000000003,14.0
45.9000000000003,14.5
45.9000000000003,15.0
45.800000000000296,15.5
45.700000000000294,16.0
45.60000000000029,16.5
45.50000000000029,17.0
45.50000000000029,17.5
45.30000000000029,18.0
45.100000000000286,18.5
45.000000000000284,19.0
44.80000000000028,19.5
44.70000000000028,20.0
44.50000000000028,20.5
44.400000000000276,21.0
44.20000000000027,21.5
44.00000000000027,22.0
43.90000000000027,22.5
43.80000000000027,23.0
43.600000000000264,23.5
43.50000000000026,24.0
43.30000000000026,24.5
43.20000000000026,25.0
43.000000000000256,25.5
42.900000000000254,26.0
42.80000000000025,26.5
42.60000000000025,27.0
42.50000000000025,27.5
42.40000000000025,28.0
42.300000000000246,28.5
42.10000000000024,29.0
42.00000000000024,29.5
41.90000000000024,30.0
41.80000000000024,30.5
41.600000000000236,31.0
41.500000000000234,31.5
41.40000000000023,32.0
41.30000000000023,32.5
41.20000000000023,33.0
41.00000000000023,33.5
40.900000000000226,34.0
40.800000000000225,34.5
40.70000000000022,35.0
40.60000000000022,35.5
40.50000000000022,36.0
40.40000000000022,36.5
40.30000000000022,37.0
40.200000000000216,37.5
40.00000000000021,38.0
39.90000000000021,38.5
39.80000000000021,39.0
39.70000000000021,39.5
39.60000000000021,40.0
39.500000000000206,40.5
39.400000000000205,41.0
39.3000000000002,41.5
39.2000000000002,42.0
39.1000000000002,42.5
39.0000000000002,43.0
38.9000000000002,43.5
38.800000000000196,44.0
38.700000000000195,44.5
38.700000000000195,45.0
38.60000000000019,45.5
38.50000000000019,46.0
38.40000000000019,46.5
38.30000000000019,47.0
38.20000000000019,47.5
38.100000000000186,48.0
38.000000000000185,48.5
37.90000000000018,49.0
37.80000000000018,49.5
37.80000000000018,50.0
37.70000000000018,50.5
37.60000000000018,51.0
37.50000000000018,51.5
37.400000000000176,52.0
37.300000000000175,52.5
37.20000000000017,53.0
37.20000000000017,53.5
37.10000000000017,54.0
37.00000000000017,54.5
36.90000000000017,55.0
36.80000000000017,55.5
36.80000000000017,56.0
36.700000000000166,56.5
36.600000000000165,57.0
36.50000000000016,57.5
36.40000000000016,58.0
36.40000000000016,58.5
36.30000000000016,59.0
36.20000000000016,59.5
36.10000000000016,60.0
36.10000000000016,60.5
36.000000000000156,61.0
35.900000000000155,61.5
35.80000000000015,62.0
35.80000000000015,62.5
35.70000000000015,63.0
35.60000000000015,63.5
35.50000000000015,64.0
35.50000000000015,64.5
35.40000000000015,65.0
35.300000000000146,65.5
35.300000000000146,66.0
35.200000000000145,66.5
35.10000000000014,67.0
35.00000000000014,67.5
35.00000000000014,68.0
34.90000000000014,68.5
34.80000000000014,69.0
34.80000000000014,69.5
34.70000000000014,70.0
34.600000000000136,70.5
34.600000000000136,71.0
34.500000000000135,71.5
34.400000000000134,72.0
34.400000000000134,72.5
34.30000000000013,73.0
34.20000000000013,73.5
34.20000000000013,74.0
34.10000000000013,74.5
34.10000000000013,75.0
34.00000000000013,75.5
33.90000000000013,76.0
33.90000000000013,76.5
33.800000000000125,77.0
33.700000000000124,77.5
33.700000000000124,78.0
33.60000000000012,78.5
33.60000000000012,79.0
33.50000000000012,79.5
33.40000000000012,80.0
33.40000000000012,80.5
33.30000000000012,81.0
33.30000000000012,81.5
33.20000000000012,82.0
33.100000000000115,82.5
33.100000000000115,83.0
33.000000000000114,83.5
33.000000000000114,84.0
32.90000000000011,84.5
32.90000000000011,85.0
32.80000000000011,85.5
32.70000000000011,86.0
32.70000000000011,86.5
32.60000000000011,87.0
32.60000000000011,87.5
32.50000000000011,88.0
32.50000000000011,88.5
32.400000000000105,89.0
32.300000000000104,89.5
32.300000000000104,90.0
32.2000000000001,90.5
32.2000000000001,91.0
32.1000000000001,91.5
32.1000000000001,92.0
32.0000000000001,92.5
32.0000000000001,93.0
31.900000000000098,93.5
31.900000000000098,94.0
31.800000000000097,94.5
31.800000000000097,95.0
31.700000000000095,95.5
31.700000000000095,96.0
31.600000000000094,96.5
31.600000000000094,97.0
31.500000000000092,97.5
31.40000000000009,98.0
31.40000000000009,98.5
31.30000000000009,99.0
31.30000000000009,99.5
31.200000000000088,100.0
